Brand,RAM,Storage,Processor,ScreenSize,Price
Lenovo,4,512,i3,15.6,46195.21
Lenovo,8,256,i5,13.3,52291.55
Asus,8,256,i3,15.6,42380.94
Dell,16,1024,i5,13.3,106030.42
HP,16,512,i5,15.6,84994.99
Acer,4,256,i7,13.3,56160.89
Dell,32,1024,i5,13.3,145964.6
Dell,16,256,i9,13.3,97288.08
Asus,4,512,i7,15.6,67790.66
Lenovo,32,256,i3,14.0,104924.56
Acer,16,512,i5,17.0,85757.3
HP,4,1024,i5,15.6,73153.55
Dell,16,512,i5,14.0,83010.91
HP,32,1024,i5,15.6,148883.1
Asus,16,256,i7,15.6,88783.64
Lenovo,4,1024,i9,15.6,99940.08
HP,4,1024,i5,15.6,78503.05
HP,4,1024,i9,13.3,99479.03
Dell,16,1024,i5,14.0,105146.0
Dell,4,1024,i9,15.6,99714.9
Dell,16,1024,i7,15.6,113698.42
Dell,16,512,i7,14.0,97924.8
HP,8,512,i3,15.6,56036.95
Asus,8,256,i9,13.3,75811.39
Acer,8,1024,i7,17.0,99284.98
HP,4,512,i7,13.3,67012.4
Dell,4,256,i5,13.3,43604.2
Asus,4,512,i9,17.0,80578.47
Lenovo,4,256,i9,14.0,65127.95
Dell,4,512,i5,14.0,52325.34
Acer,4,1024,i9,13.3,95077.46
Lenovo,32,256,i3,13.3,103661.5
Lenovo,16,1024,i7,17.0,114365.5
Dell,16,256,i9,15.6,95230.22
Lenovo,32,1024,i5,14.0,146405.15
Acer,8,256,i5,15.6,51718.15
Lenovo,16,1024,i5,14.0,105852.11
Dell,32,256,i9,14.0,137402.6
Acer,4,512,i7,13.3,65628.69
Acer,4,256,i3,17.0,29486.89
Asus,32,256,i5,14.0,115776.22
Asus,32,512,i7,14.0,137192.42
HP,32,512,i5,14.0,126053.09
Lenovo,4,512,i5,15.6,55392.12
HP,32,1024,i7,15.6,160892.28
Acer,4,512,i3,15.6,45660.3
Acer,4,512,i3,13.3,41105.99
Acer,4,256,i9,14.0,71119.26
Dell,8,1024,i9,17.0,106248.22
Dell,8,256,i9,17.0,74269.25
HP,8,1024,i9,13.3,105171.98
Acer,4,1024,i7,13.3,90355.04
HP,8,512,i7,15.6,78877.57
Dell,8,256,i5,15.6,52697.74
Acer,4,1024,i5,13.3,72983.8
Lenovo,16,512,i9,17.0,111459.68
Asus,16,1024,i3,14.0,94942.27
Acer,8,512,i9,17.0,84655.77
Asus,16,256,i5,15.6,76398.88
HP,32,1024,i5,14.0,148411.17
HP,8,1024,i3,14.0,75546.92
Acer,8,512,i7,13.3,75543.32
HP,32,256,i7,13.3,129629.26
Acer,4,512,i7,14.0,68104.78
Asus,8,256,i3,14.0,40650.29
Dell,32,1024,i3,13.3,133545.66
Asus,32,512,i3,13.3,113299.48
Lenovo,4,256,i7,14.0,57185.01
HP,32,1024,i9,15.6,168805.73
HP,32,1024,i7,15.6,157079.37
Dell,32,1024,i7,14.0,156258.89
Lenovo,4,512,i9,17.0,74780.89
Asus,32,256,i9,13.3,136064.75
Dell,8,1024,i3,14.0,70272.45
Dell,8,512,i5,15.6,61297.08
HP,8,256,i9,17.0,77483.66
HP,4,256,i9,15.6,69169.1
Acer,4,1024,i9,13.3,96148.92
HP,8,1024,i5,15.6,86355.67
HP,16,1024,i3,17.0,96193.09
Asus,16,256,i5,14.0,74871.61
Lenovo,32,256,i3,15.6,101180.03
HP,16,512,i3,17.0,70162.07
Acer,4,512,i3,15.6,42119.57
Lenovo,16,256,i9,13.3,101443.99
Lenovo,4,256,i9,13.3,65622.02
Lenovo,32,256,i9,14.0,137061.72
Acer,32,1024,i3,13.3,134501.07
Dell,32,256,i9,17.0,135124.76
Dell,16,256,i7,17.0,87375.43
Dell,32,1024,i5,14.0,145124.28
Asus,8,512,i7,15.6,72488.16
Asus,4,1024,i7,13.3,90248.78
HP,8,256,i5,15.6,51932.19
Acer,32,1024,i7,14.0,159550.03
HP,4,512,i9,13.3,76126.84
Asus,16,1024,i3,15.6,91559.36
Lenovo,8,512,i5,15.6,67781.22
HP,16,1024,i3,17.0,89633.24
Acer,4,256,i5,15.6,40829.75
Acer,16,256,i5,17.0,77741.38
Asus,4,512,i5,14.0,50933.95
Lenovo,8,256,i3,17.0,42310.0
Asus,32,256,i3,17.0,104730.12
Dell,4,1024,i7,14.0,86442.17
HP,8,256,i7,15.6,65990.54
Asus,4,256,i3,13.3,35342.34
Lenovo,4,1024,i7,14.0,84896.12
HP,8,256,i5,17.0,53655.99
Dell,32,1024,i9,15.6,165872.65
Lenovo,16,512,i5,17.0,88016.95
Asus,8,512,i5,17.0,61968.26
Dell,4,512,i5,17.0,56313.79
Lenovo,16,512,i3,13.3,69298.62
HP,32,256,i9,14.0,137996.75
Dell,32,512,i5,15.6,124354.53
Asus,16,256,i3,17.0,59510.63
Asus,4,1024,i5,15.6,71490.19
Acer,32,256,i5,15.6,113059.26
Asus,4,256,i9,13.3,69928.41
HP,4,512,i9,15.6,77995.18
Dell,4,512,i5,14.0,53897.45
Asus,4,256,i3,17.0,36162.88
Acer,8,1024,i5,14.0,81390.92
Dell,32,256,i7,15.6,125635.77
Lenovo,4,512,i3,13.3,40085.11
HP,16,256,i9,15.6,101176.64
HP,4,1024,i7,15.6,85511.8
HP,16,1024,i7,13.3,119031.43
Asus,4,256,i5,17.0,41668.0
Dell,8,256,i9,15.6,80400.2
Acer,32,512,i7,17.0,135099.0
HP,16,256,i9,15.6,94994.67
Asus,4,1024,i5,17.0,78293.7
Acer,8,512,i3,17.0,52092.48
Dell,4,1024,i5,17.0,78285.52
Dell,8,512,i3,15.6,48495.49
Dell,32,1024,i7,13.3,156299.11
HP,16,1024,i7,13.3,114863.14
Lenovo,16,512,i3,17.0,75803.2
HP,16,512,i3,17.0,70773.17
Lenovo,32,512,i5,17.0,128235.32
HP,16,256,i7,15.6,84468.53
Acer,32,256,i5,15.6,117998.77
Asus,8,1024,i9,13.3,105985.89
Lenovo,16,256,i9,15.6,95029.73
Lenovo,32,512,i9,17.0,146212.75
Acer,4,512,i3,14.0,38764.11
Dell,16,256,i3,13.3,59946.09
Asus,4,256,i3,14.0,32464.53
HP,8,1024,i3,13.3,74766.92
Dell,32,512,i7,13.3,134106.48
Lenovo,4,1024,i9,14.0,99142.38
HP,32,1024,i3,15.6,130453.63
Asus,16,1024,i3,14.0,91449.08
Lenovo,8,1024,i5,14.0,83503.16
Acer,32,256,i3,14.0,103912.19
Asus,8,1024,i7,13.3,100120.89
Asus,4,1024,i3,14.0,61871.82
Acer,8,1024,i3,17.0,76128.44
Acer,32,256,i9,15.6,134517.87
Acer,16,512,i5,14.0,83863.99
Acer,16,512,i5,17.0,81193.68
Asus,8,512,i5,15.6,64930.27
Asus,8,512,i3,15.6,49669.51
Asus,16,1024,i9,17.0,129540.76
Asus,16,1024,i7,15.6,119890.64
HP,16,512,i9,17.0,105448.55
Lenovo,8,1024,i9,14.0,110707.67
Acer,16,256,i7,15.6,89719.2
HP,4,512,i7,14.0,68277.31
Acer,16,512,i7,15.6,96448.92
Lenovo,16,512,i3,17.0,72540.07
Lenovo,16,256,i9,15.6,100151.79
Asus,8,512,i9,17.0,85094.42
Acer,32,512,i7,15.6,134105.12
Dell,4,1024,i5,15.6,77188.65
Lenovo,8,256,i9,14.0,79189.41
Acer,4,1024,i5,15.6,76956.47
Dell,8,1024,i5,13.3,88042.48
Dell,16,1024,i9,15.6,131288.49
Asus,8,256,i7,17.0,67806.84
Acer,8,256,i3,13.3,45504.01
Lenovo,4,256,i5,13.3,40812.95
Lenovo,32,512,i3,13.3,111865.47
Acer,8,256,i5,17.0,57838.86
Asus,8,512,i3,14.0,49578.96
HP,16,1024,i9,14.0,127853.12
HP,4,512,i5,17.0,58361.79
Asus,8,256,i7,14.0,66614.03
Dell,32,256,i7,17.0,123196.35
Acer,8,512,i9,14.0,90487.93
Lenovo,8,256,i9,14.0,77927.66
HP,4,256,i9,15.6,68142.07
Dell,32,512,i5,14.0,123846.12
Acer,8,256,i5,14.0,57831.44
Dell,4,512,i5,13.3,51603.04
Dell,4,1024,i3,14.0,66163.46
Acer,32,512,i7,13.3,137391.5
Dell,4,512,i5,14.0,51792.73
Lenovo,32,1024,i9,13.3,168644.72
Asus,32,1024,i3,14.0,132333.86
Acer,8,512,i5,14.0,68450.7
HP,32,256,i3,17.0,99278.24
Asus,32,1024,i7,15.6,156137.38
HP,8,1024,i5,17.0,83386.57
Acer,8,512,i3,14.0,51550.27
Asus,4,1024,i9,15.6,100953.29
HP,32,256,i7,13.3,125911.44
Dell,4,1024,i9,17.0,101566.08
Acer,4,1024,i9,14.0,97884.98
Acer,16,512,i9,14.0,110681.23
Acer,4,1024,i3,17.0,65817.17
Lenovo,16,512,i7,15.6,99819.23
Asus,8,512,i3,13.3,54490.25
Lenovo,8,1024,i3,14.0,76800.42
Asus,4,1024,i7,14.0,90076.79
Lenovo,4,1024,i5,14.0,71273.02
HP,4,1024,i7,17.0,83414.35
Asus,32,256,i9,15.6,135560.94
Asus,8,512,i3,17.0,51658.51
Lenovo,16,1024,i7,15.6,117724.38
Acer,8,512,i7,13.3,79579.47
Acer,8,1024,i9,15.6,105056.68
Lenovo,16,1024,i5,13.3,102464.06
Dell,4,256,i5,14.0,47319.13
Lenovo,8,512,i3,13.3,54114.75
HP,32,512,i3,14.0,110195.6
Dell,8,256,i5,17.0,57247.42
Lenovo,8,256,i5,17.0,51346.52
Lenovo,8,1024,i5,13.3,82911.0
Asus,16,512,i5,14.0,83230.54
Acer,4,512,i9,14.0,80339.26
HP,8,1024,i7,13.3,100800.4
HP,8,512,i7,14.0,76568.64
Asus,16,1024,i5,15.6,104158.63
Dell,4,1024,i9,15.6,96456.0
Lenovo,4,512,i5,17.0,58453.51
HP,32,512,i7,17.0,133439.32
Acer,8,256,i7,17.0,69556.73
Lenovo,4,256,i5,17.0,42932.9
Asus,16,1024,i7,15.6,115478.31
Lenovo,4,1024,i5,13.3,75675.61
Asus,32,1024,i3,17.0,132275.05
HP,4,512,i7,17.0,65353.73
Dell,4,512,i3,13.3,42081.24
Asus,8,512,i7,17.0,72793.11
Lenovo,16,1024,i7,13.3,118117.55
Asus,8,256,i7,14.0,64510.98
Dell,4,512,i5,13.3,58183.16
Asus,8,512,i9,13.3,90171.82
Asus,8,1024,i5,13.3,88527.16
Asus,16,256,i3,15.6,63883.6
Dell,16,1024,i9,17.0,127666.87
Acer,32,256,i9,15.6,134333.71
Dell,16,256,i7,15.6,83609.25
HP,16,512,i7,15.6,96735.18
HP,32,1024,i7,15.6,155692.36
Asus,16,256,i9,13.3,101258.49
HP,8,256,i3,17.0,42853.88
Acer,32,256,i5,15.6,116390.82
HP,32,1024,i5,13.3,145944.45
HP,4,256,i7,17.0,55998.88
Lenovo,8,512,i3,14.0,55909.33
Lenovo,16,256,i9,14.0,99241.85
HP,8,256,i9,14.0,77815.97
Lenovo,16,512,i7,17.0,95956.0
Asus,16,1024,i9,17.0,125249.79
Acer,32,1024,i5,13.3,147771.51
Acer,16,1024,i7,15.6,120481.65
Asus,16,1024,i5,13.3,105256.63
HP,32,1024,i7,13.3,154739.43
Acer,16,256,i3,13.3,59005.29
HP,32,256,i5,14.0,112601.97
Acer,32,1024,i9,13.3,166888.21
Dell,16,512,i9,17.0,106668.87
Lenovo,8,512,i3,13.3,56378.43
Acer,4,512,i7,14.0,69531.28
Dell,8,512,i3,17.0,52495.31
Acer,8,256,i5,15.6,57732.37
Lenovo,16,256,i3,13.3,61764.8
Lenovo,32,256,i3,13.3,98537.52
Dell,8,1024,i9,17.0,112699.51
Asus,32,1024,i9,15.6,167597.86
Dell,16,1024,i7,13.3,115434.78
HP,8,512,i7,14.0,74395.83
Asus,4,512,i3,17.0,44543.11
Acer,16,512,i9,14.0,106296.97
Acer,4,1024,i9,17.0,100857.02
Lenovo,16,256,i9,13.3,100925.89
Dell,16,1024,i3,15.6,96166.32
HP,8,512,i9,13.3,88594.13
Asus,8,256,i3,17.0,41541.46
HP,4,256,i7,15.6,57267.04
Dell,32,256,i9,13.3,136963.7
Asus,8,256,i9,14.0,78184.48
Dell,16,1024,i9,13.3,129126.81
HP,32,512,i7,14.0,135920.34
Asus,4,256,i5,13.3,43660.32
Dell,8,256,i9,13.3,75548.86
Lenovo,32,1024,i5,15.6,141721.79
Acer,16,512,i7,17.0,92523.44
Asus,4,256,i5,14.0,44674.59
HP,4,512,i7,14.0,67018.2
Asus,4,512,i3,13.3,42978.0
Acer,16,512,i5,15.6,86820.5
Asus,4,512,i7,17.0,69542.52
Dell,8,1024,i3,17.0,74839.18
Asus,8,1024,i9,17.0,105803.67
Lenovo,4,1024,i9,17.0,101603.94
Asus,32,512,i5,17.0,122550.1
Asus,4,256,i9,17.0,64825.37
Lenovo,16,512,i7,14.0,97919.93
Acer,8,512,i3,14.0,54054.74
Acer,8,256,i7,15.6,69481.12
Lenovo,8,512,i3,14.0,52691.37
Acer,16,1024,i3,15.6,96138.97
Acer,4,1024,i5,13.3,75024.88
HP,8,1024,i9,17.0,111502.62
Lenovo,8,512,i9,15.6,90274.11
Lenovo,4,256,i7,13.3,58832.08
Acer,4,1024,i5,17.0,71544.43
Acer,8,256,i9,14.0,81400.49
Lenovo,16,512,i3,15.6,70980.75
Asus,4,512,i9,17.0,75427.94
Asus,4,256,i7,13.3,58047.65
Dell,16,256,i9,14.0,97569.7
Acer,16,256,i9,14.0,98988.67
HP,4,256,i9,17.0,66943.56
HP,8,512,i9,15.6,86687.14
Asus,32,256,i7,14.0,126047.69
HP,4,256,i7,15.6,57435.74
Dell,8,512,i3,15.6,50299.52
HP,8,1024,i3,15.6,76297.43
Lenovo,8,256,i9,15.6,82201.47
Asus,8,256,i9,14.0,81297.77
HP,4,512,i7,14.0,66104.62
Lenovo,8,1024,i3,14.0,71170.54
HP,8,1024,i9,15.6,107093.25
Asus,8,512,i5,13.3,60527.63
HP,32,1024,i9,13.3,170469.23
Lenovo,32,256,i7,15.6,126662.33
Asus,16,512,i7,15.6,100214.91
Lenovo,32,256,i3,15.6,104204.81
HP,4,256,i7,14.0,56835.47
Asus,32,512,i5,15.6,126385.71
Dell,4,1024,i5,14.0,71086.45
Dell,32,512,i3,14.0,114117.56
Lenovo,16,256,i9,13.3,99237.45
Asus,4,512,i9,13.3,78903.34
Lenovo,4,512,i5,17.0,58166.88
Asus,32,256,i3,17.0,98703.62
Lenovo,16,512,i3,14.0,76227.1
Acer,4,512,i7,17.0,65516.28
Asus,32,512,i7,17.0,136970.64
HP,4,1024,i5,13.3,77663.73
Acer,4,512,i3,14.0,41819.1
Dell,4,256,i5,15.6,47602.06
Lenovo,4,512,i3,13.3,40873.59
Lenovo,16,256,i3,15.6,62108.66
HP,32,1024,i7,14.0,158695.76
Lenovo,4,256,i7,17.0,56437.16
Lenovo,32,256,i3,13.3,100656.51
Asus,4,1024,i5,15.6,72487.52
HP,16,512,i5,15.6,87626.49
Lenovo,4,256,i9,15.6,69788.99
Asus,8,512,i7,17.0,79881.59
Acer,8,256,i9,14.0,76806.17
HP,16,256,i9,15.6,95652.22
Dell,4,512,i9,14.0,78531.63
HP,32,512,i9,15.6,144741.55
HP,16,256,i3,15.6,66037.18
Asus,16,256,i5,17.0,70637.42
Acer,16,256,i3,14.0,60865.96
Asus,8,1024,i7,14.0,93565.9
Lenovo,16,256,i9,13.3,100124.32
HP,32,256,i9,17.0,141995.98
Acer,4,256,i3,13.3,33835.44
HP,8,512,i9,13.3,89425.8
Acer,16,1024,i9,15.6,125549.11
Acer,8,512,i5,13.3,62412.68
Asus,32,256,i3,13.3,99377.53
Dell,32,1024,i9,14.0,169935.14
Asus,16,512,i3,13.3,72884.83
Lenovo,4,256,i5,15.6,43704.25
Asus,4,512,i3,17.0,39999.45
HP,8,1024,i3,15.6,75426.59
Lenovo,16,512,i9,14.0,111283.65
Acer,32,1024,i7,14.0,158788.76
Lenovo,32,512,i3,14.0,109879.23
HP,32,512,i3,14.0,114447.08
Asus,8,256,i7,13.3,66304.06
Lenovo,16,512,i9,17.0,111210.58
Dell,16,512,i7,17.0,96440.16
Dell,8,512,i5,14.0,66725.91
Asus,4,256,i5,13.3,42255.14
Acer,32,512,i5,14.0,126027.05
HP,8,512,i5,17.0,66538.93
Acer,8,512,i5,17.0,61672.4
HP,8,512,i7,14.0,75335.68
Dell,4,512,i9,15.6,78795.38
Asus,16,1024,i7,13.3,115336.48
Acer,16,1024,i5,13.3,101975.48
Dell,4,1024,i9,13.3,98056.48
HP,16,1024,i9,17.0,130272.62
Dell,32,1024,i7,13.3,157964.35
Acer,16,512,i9,14.0,109366.59
Acer,16,1024,i7,13.3,117608.64
Dell,32,256,i9,17.0,141238.75
Acer,16,1024,i3,14.0,96132.43
Dell,16,512,i9,14.0,109601.36
Lenovo,4,512,i5,13.3,51067.81
Lenovo,8,512,i5,15.6,66796.57
Acer,16,1024,i3,14.0,92411.51
Dell,8,512,i9,17.0,90800.61
Acer,4,256,i5,13.3,42578.02
Lenovo,16,256,i7,14.0,87410.47
Acer,32,512,i5,15.6,125368.33
Acer,32,512,i5,14.0,123755.13
Acer,4,512,i5,14.0,52846.08
Dell,16,1024,i9,13.3,130513.3
Asus,32,1024,i5,13.3,142133.51
Dell,32,1024,i7,13.3,153806.27
Acer,8,512,i9,14.0,84700.99
Dell,8,256,i9,13.3,80289.9
Dell,32,256,i9,14.0,136188.05
Dell,32,512,i7,14.0,138688.27
HP,4,1024,i5,17.0,76820.36
Lenovo,16,512,i3,15.6,68692.44
Acer,4,512,i5,14.0,53890.73
Asus,8,512,i5,17.0,63113.98
Asus,4,256,i5,13.3,47685.8
Lenovo,16,512,i7,15.6,98717.05
Dell,8,1024,i3,14.0,69231.23
Dell,16,256,i3,14.0,62705.83
Acer,32,1024,i9,13.3,165411.47
HP,4,512,i3,14.0,41023.44
Dell,32,256,i9,13.3,135276.12
Asus,4,512,i5,17.0,55329.5
Acer,32,1024,i5,17.0,146473.19
Acer,4,256,i9,15.6,68739.49
HP,4,1024,i5,13.3,73058.71
Acer,8,1024,i3,14.0,71912.42
HP,32,512,i3,13.3,111914.27
Dell,32,512,i9,14.0,147489.81
Asus,32,1024,i9,15.6,167217.27
Dell,16,256,i3,15.6,60273.8
Dell,8,256,i3,15.6,41531.66
Lenovo,8,1024,i9,17.0,106446.0
Dell,16,1024,i7,15.6,118605.55
Dell,8,1024,i3,13.3,75248.69
Dell,8,512,i9,15.6,85224.9
Asus,16,256,i7,17.0,84798.83
Asus,8,1024,i9,15.6,107367.25
Lenovo,4,1024,i5,17.0,74779.44
Dell,8,1024,i5,14.0,88837.58
Lenovo,16,256,i5,13.3,76793.93
Asus,16,1024,i3,13.3,89670.25
Acer,16,512,i9,13.3,109143.28
Acer,16,512,i3,17.0,71513.95
Acer,32,1024,i7,13.3,156817.28
Acer,4,512,i9,13.3,75005.62
HP,16,256,i5,13.3,75595.47
Acer,32,1024,i3,13.3,136153.06
Dell,16,256,i7,17.0,89968.42
Dell,8,512,i7,14.0,75560.75
HP,16,1024,i9,13.3,131658.96
Dell,32,256,i7,17.0,123059.78
Asus,32,256,i7,13.3,128023.02
HP,32,1024,i5,14.0,141737.81
Asus,4,1024,i3,14.0,62725.77
HP,8,1024,i3,15.6,74992.34
Acer,32,1024,i9,17.0,166980.29
HP,32,256,i7,17.0,125926.12
Dell,32,1024,i5,14.0,142454.62
Dell,4,256,i3,17.0,29144.59
Acer,4,512,i9,14.0,79014.31
Dell,32,1024,i5,17.0,147540.04
Dell,32,1024,i7,17.0,159127.89
Asus,4,1024,i7,14.0,83662.32
HP,16,512,i5,15.6,87098.66
Lenovo,16,512,i5,14.0,88283.01
Acer,16,256,i9,13.3,101270.67
Acer,8,1024,i3,15.6,76801.89
Dell,16,1024,i5,15.6,108277.99
Acer,8,512,i9,15.6,87950.16
Dell,16,1024,i9,13.3,125534.85
Lenovo,32,256,i5,15.6,114065.74
HP,16,512,i5,14.0,85160.29
Acer,8,512,i9,14.0,87796.11
Dell,16,1024,i5,14.0,104353.88
Lenovo,16,512,i7,14.0,97901.06
Acer,32,256,i7,13.3,128387.59
Dell,4,1024,i3,13.3,60378.65
Dell,16,1024,i7,17.0,113202.38
HP,8,1024,i5,17.0,86945.02
Asus,32,512,i7,17.0,133061.16
Lenovo,4,1024,i7,17.0,83870.28
HP,32,256,i3,13.3,101347.41
Acer,4,1024,i7,17.0,83777.31
Acer,4,512,i7,13.3,63599.63
Dell,4,512,i5,17.0,58131.6
Dell,32,256,i5,14.0,112064.83
HP,4,512,i7,14.0,68176.78
Dell,16,256,i3,13.3,60213.21
HP,16,1024,i9,14.0,125746.12
Asus,32,256,i3,17.0,105687.76
Acer,16,1024,i3,14.0,92951.36
HP,4,512,i5,13.3,56509.78
Acer,8,1024,i3,13.3,73519.04
Acer,32,512,i5,15.6,123795.88
Asus,8,1024,i7,13.3,99963.27
Lenovo,16,512,i3,15.6,71141.6
Acer,16,256,i7,17.0,84478.42
Dell,32,1024,i9,17.0,170517.16
Dell,32,512,i7,14.0,135023.84
Asus,32,1024,i7,14.0,158793.61
Acer,32,1024,i7,17.0,153665.19
Asus,8,1024,i7,14.0,94092.37
Dell,8,256,i9,14.0,76221.85
Lenovo,32,512,i9,15.6,144714.69
Dell,8,1024,i3,17.0,76150.13
Dell,8,256,i9,13.3,76904.95
Dell,16,1024,i5,15.6,105810.32
Dell,4,1024,i7,13.3,86751.23
HP,32,1024,i7,13.3,158033.3
Lenovo,8,512,i5,17.0,66173.8
HP,32,1024,i3,14.0,134648.62
HP,16,512,i3,14.0,71475.03
Asus,32,1024,i7,17.0,159198.67
Dell,4,512,i9,15.6,75797.27
Asus,16,1024,i3,15.6,89579.57
Acer,8,256,i9,17.0,79733.49
Dell,8,512,i9,14.0,90400.76
HP,8,256,i9,17.0,77612.04
Lenovo,16,256,i9,17.0,99740.0
Lenovo,32,1024,i7,14.0,155113.97
Acer,32,256,i3,15.6,104657.49
Lenovo,8,512,i3,13.3,50988.11
Acer,32,512,i3,13.3,115335.24
Acer,8,1024,i7,14.0,93070.85
Lenovo,8,1024,i3,15.6,76488.31
Asus,16,1024,i9,13.3,127841.28
Dell,4,512,i9,17.0,77330.09
Dell,16,1024,i5,17.0,101670.86
Lenovo,4,512,i7,15.6,66764.82
Lenovo,16,256,i9,14.0,101141.34
Asus,16,256,i5,14.0,70509.89
Dell,16,512,i5,15.6,87154.36
Asus,16,1024,i5,15.6,103109.79
Dell,16,1024,i5,14.0,105517.77
HP,4,512,i9,14.0,79113.38
Dell,16,1024,i5,17.0,107345.22
HP,16,256,i3,14.0,60231.4
Asus,8,1024,i9,13.3,105580.87
Asus,32,1024,i3,14.0,135967.33
Acer,32,512,i3,15.6,111521.41
Asus,8,512,i7,13.3,78951.08
Acer,4,1024,i9,17.0,100518.51
Lenovo,8,1024,i3,14.0,76686.23
Dell,32,1024,i5,13.3,143632.73
Lenovo,16,1024,i5,15.6,107173.26
Acer,32,1024,i7,17.0,154075.01
Acer,8,256,i7,17.0,70095.26
Asus,8,1024,i9,17.0,106104.06
HP,4,512,i9,14.0,76175.33
Dell,16,256,i3,13.3,62653.33
Acer,16,1024,i9,14.0,129701.57
Acer,16,512,i9,14.0,107056.62
Dell,4,256,i9,14.0,68784.39
Lenovo,4,256,i3,15.6,31491.37
Acer,32,1024,i7,14.0,156800.01
Dell,16,256,i3,14.0,65489.67
Dell,32,1024,i5,13.3,147553.69
HP,8,512,i3,14.0,53213.87
Dell,16,1024,i9,15.6,126552.77
Dell,16,1024,i9,13.3,127372.73
Dell,16,1024,i7,14.0,119026.09
Dell,16,512,i7,13.3,99621.71
Lenovo,32,1024,i3,17.0,129182.96
Acer,32,256,i9,17.0,139314.62
HP,16,256,i7,17.0,82702.44
Asus,16,256,i9,14.0,97131.04
Acer,4,512,i7,15.6,65582.38
Asus,8,1024,i7,17.0,93581.67
Lenovo,32,1024,i5,13.3,147791.58
Dell,32,256,i9,14.0,139537.94
Dell,4,512,i3,17.0,41726.74
HP,4,256,i9,14.0,64506.02
HP,32,256,i5,13.3,118039.73
Asus,8,512,i9,15.6,87958.53
HP,4,1024,i7,13.3,89422.89
HP,8,512,i3,14.0,54753.8
Asus,4,1024,i5,15.6,74668.85
Acer,32,256,i7,17.0,129170.21
Lenovo,16,512,i3,15.6,72614.63
HP,4,512,i5,15.6,55350.86
Asus,8,1024,i7,17.0,95589.23
Acer,4,512,i9,14.0,80833.48
Acer,4,256,i7,17.0,52835.89
Lenovo,16,512,i7,13.3,95912.37
Lenovo,4,256,i3,14.0,31342.53
Lenovo,8,1024,i5,17.0,81089.32
Lenovo,16,1024,i7,17.0,120163.79
Lenovo,4,256,i3,15.6,32915.6
Dell,16,512,i3,13.3,73260.44
Acer,4,256,i7,13.3,53374.39
Dell,32,512,i9,13.3,148231.86
Lenovo,32,512,i3,14.0,109669.86
Dell,4,1024,i9,14.0,98372.98
Dell,4,256,i9,17.0,70676.1
Asus,16,256,i7,15.6,84983.18
HP,4,1024,i7,14.0,83980.0
Asus,8,1024,i3,15.6,74411.65
Lenovo,32,256,i5,15.6,114294.3
Dell,16,512,i5,17.0,86154.56
