Temperature,Humidity,WindSpeed,Pressure,Rainfall
26.15,56.66,8.53,993.32,60.91
39.77,93.58,22.34,1010.12,84.41
21.14,65.78,25.24,1009.41,74.62
31.84,44.45,26.07,1019.79,50.86
32.16,65.81,27.13,1010.8,72.45
34.66,87.01,23.68,1005.52,80.77
20.59,66.85,6.98,1016.02,49.87
28.48,54.35,7.9,1002.96,54.97
27.14,56.3,7.98,992.21,57.05
31.85,52.42,9.86,1004.46,47.49
38.88,85.85,3.72,1014.6,64.34
35.41,76.08,9.95,1013.8,64.05
28.65,54.3,25.01,990.18,69.74
21.66,99.17,6.86,1019.3,71.44
39.69,84.74,10.18,1003.0,69.37
29.74,81.78,11.69,992.55,74.6
28.83,66.72,29.27,1013.59,73.73
28.6,66.7,17.81,1015.4,61.15
25.89,81.98,23.98,1018.95,75.5
20.3,43.18,14.25,994.2,55.48
22.38,41.45,12.5,990.54,58.21
39.79,71.97,20.43,1019.92,68.23
20.98,81.2,10.39,991.28,71.87
31.62,67.57,23.94,1003.61,73.66
25.15,63.76,26.43,1007.29,65.78
31.21,92.78,5.86,1012.77,68.54
31.66,41.85,21.55,1018.59,45.62
27.72,68.87,19.12,1010.25,63.06
21.63,76.44,14.24,997.4,71.68
28.51,70.65,22.55,999.66,73.07
22.72,89.34,23.96,1013.29,85.42
30.96,91.94,22.5,1012.37,82.12
20.39,78.28,19.31,991.51,79.27
21.97,73.79,7.88,1016.88,57.32
33.66,85.21,7.24,1013.52,67.42
21.66,88.17,15.42,992.32,85.72
32.94,43.96,17.56,992.55,54.68
29.95,48.11,22.07,1008.71,58.92
33.59,56.43,26.46,1013.89,61.98
28.01,58.22,21.29,1010.9,63.4
30.18,84.8,15.61,996.83,79.96
24.24,77.08,2.04,1009.93,60.77
34.55,76.44,10.09,1003.55,70.63
29.64,42.25,17.73,1014.05,47.27
30.93,66.61,23.45,992.77,73.0
20.03,82.66,23.99,1001.5,80.28
36.51,88.32,18.46,999.45,81.68
33.74,94.13,24.0,999.39,92.57
20.91,91.91,7.42,993.15,82.62
29.06,69.32,26.32,1018.45,68.32
24.84,82.38,3.83,1001.07,62.88
23.71,97.72,15.01,1006.62,82.14
21.15,63.74,18.21,996.44,66.29
25.28,99.02,16.52,1015.13,80.23
21.3,57.06,10.22,1019.35,46.33
37.01,43.4,15.69,1007.46,51.78
36.28,98.09,25.11,991.74,97.66
38.38,93.55,1.63,1004.93,69.61
30.08,50.82,18.28,1004.91,61.71
37.35,72.85,3.51,1002.87,55.13
34.53,96.09,23.66,993.38,91.18
31.43,87.69,1.34,1016.87,65.1
33.01,48.36,17.03,1005.52,51.26
28.29,83.65,15.44,1008.99,71.46
37.16,56.56,10.0,1001.09,56.97
34.79,42.05,8.9,1015.08,44.23
30.4,45.58,23.41,990.87,69.1
39.9,83.12,26.54,990.06,86.36
21.0,96.28,13.36,997.63,86.31
32.78,61.58,19.12,1011.62,63.54
26.23,47.35,21.36,1019.24,47.2
34.38,69.52,15.6,1015.3,60.24
33.27,55.07,13.76,996.13,61.89
27.02,46.79,9.82,1017.35,38.04
21.58,75.45,15.33,1006.15,65.0
39.3,52.1,7.38,998.69,53.46
25.75,43.81,21.54,1016.52,48.29
37.93,81.96,18.12,1008.24,77.34
25.81,68.39,27.98,1018.95,64.21
29.81,58.4,14.99,1007.09,60.17
30.48,48.15,28.73,1003.15,67.86
37.0,84.32,10.72,1000.17,77.66
23.35,92.93,21.64,994.59,86.82
21.61,51.44,24.75,1007.59,60.25
37.4,68.07,1.23,1010.34,48.63
31.12,95.18,21.74,990.1,89.88
28.49,97.64,4.4,1004.06,73.94
28.29,72.59,2.72,1011.48,50.65
36.55,45.8,20.65,1018.54,51.22
37.24,56.37,28.72,990.88,77.7
35.24,98.71,6.77,1003.6,82.07
39.78,84.21,10.81,1011.58,72.85
36.2,79.65,25.81,1005.93,76.06
22.91,80.61,26.24,1011.33,81.99
27.64,97.93,19.07,993.56,93.19
38.98,68.66,2.09,1018.97,53.08
38.05,80.57,10.79,1003.34,69.39
32.36,83.45,1.48,1008.15,62.27
22.67,40.53,26.66,1010.38,55.2
26.45,85.22,17.05,1006.83,75.19
24.51,61.91,20.19,1005.08,64.63
38.54,54.96,4.58,1013.52,45.6
35.21,47.48,16.61,1002.8,60.06
34.7,78.23,29.73,1003.54,83.1
38.23,46.57,9.45,1008.55,43.72
22.32,58.48,29.9,1015.56,65.36
31.45,56.11,29.91,1011.98,67.19
20.47,74.95,10.92,990.29,74.66
33.73,63.65,29.49,1012.94,67.92
23.5,97.41,21.22,1004.95,92.77
25.28,95.07,23.99,1016.5,85.26
39.03,57.58,4.3,1001.04,55.06
35.36,72.18,19.09,1011.43,71.53
25.63,85.39,14.79,1015.09,68.61
20.09,51.17,28.8,1017.57,63.21
30.74,62.27,18.28,999.68,63.98
26.91,95.12,3.17,1018.61,65.37
21.74,60.77,1.69,1005.24,50.05
28.26,50.59,12.36,1005.68,49.09
25.42,66.22,13.22,1005.89,66.61
35.35,47.91,8.52,999.02,47.22
27.79,46.5,6.27,1014.89,43.14
28.62,86.31,18.93,999.92,77.73
39.23,92.5,28.92,1010.82,89.68
25.16,47.27,22.16,1013.94,57.8
21.2,51.87,3.87,993.03,55.02
36.81,83.71,12.19,1000.96,74.37
32.25,85.56,15.37,1010.7,75.9
29.25,76.66,23.18,1017.77,69.85
21.35,51.23,1.34,1007.21,46.28
32.8,83.62,11.15,1005.94,72.98
38.49,75.42,5.9,994.89,63.51
32.89,98.7,27.17,992.13,101.68
23.14,78.59,15.28,991.27,79.54
28.54,70.92,5.17,1019.21,51.67
34.18,47.65,21.1,991.43,60.45
32.14,93.72,20.63,1002.56,82.16
35.6,73.04,26.19,1013.32,73.85
27.25,90.7,21.04,1018.88,75.76
37.28,41.57,20.81,1002.66,55.88
30.41,46.71,24.72,996.29,63.76
20.77,57.3,27.47,990.89,73.18
28.74,50.52,29.94,1009.95,66.01
23.05,42.77,18.03,996.29,61.77
34.8,62.91,13.69,996.58,65.47
37.17,82.08,21.64,1006.12,79.04
39.08,95.38,4.46,1002.74,73.33
24.4,76.74,24.9,1014.9,75.03
25.5,42.87,2.41,1012.53,39.09
28.26,64.13,14.6,1016.03,60.41
26.37,91.06,15.35,1012.99,74.54
28.8,94.8,14.22,996.83,81.15
30.68,51.77,25.98,992.27,65.96
21.94,88.32,1.88,993.76,72.03
31.82,40.54,9.11,998.97,46.64
33.44,90.43,8.04,994.74,74.74
33.63,56.92,28.52,995.05,72.53
24.97,49.72,14.65,996.25,54.95
23.94,41.46,12.1,1000.39,47.29
23.88,92.88,20.96,1013.53,78.24
30.8,79.38,11.18,1008.46,70.02
28.32,85.43,20.84,1007.29,76.57
39.27,78.1,12.7,1004.24,65.08
30.89,67.37,11.73,1018.05,59.61
31.02,73.73,26.6,1011.88,77.65
37.61,70.24,12.9,998.08,65.32
25.18,53.95,16.33,992.36,62.52
29.8,64.08,14.56,990.4,65.36
27.35,72.18,14.62,992.92,76.33
35.39,59.71,12.82,990.07,69.54
30.88,54.43,29.36,1018.48,62.5
28.06,69.95,17.48,994.65,72.82
27.94,94.22,24.11,1013.33,83.82
31.12,41.41,10.04,1017.04,43.59
20.23,63.58,26.48,1004.33,70.8
31.8,46.94,4.4,996.13,53.1
22.76,44.76,11.11,1014.78,38.88
32.74,74.68,25.48,1014.97,76.79
32.61,59.83,23.03,992.84,70.85
33.59,62.49,3.92,1000.54,54.46
23.36,89.33,22.69,1011.17,79.19
35.26,41.75,1.71,993.45,47.85
28.63,57.18,10.91,990.44,62.66
20.93,45.67,27.48,990.24,66.14
33.04,92.06,21.95,1002.6,88.08
22.27,52.05,23.37,1014.18,57.52
32.12,45.15,25.99,994.98,68.34
35.06,75.63,19.95,1007.7,73.2
35.71,98.55,14.37,995.52,91.81
36.29,72.36,17.29,998.3,68.64
27.6,70.96,6.23,993.75,64.64
32.65,93.75,4.52,1007.67,69.73
24.93,43.01,29.57,997.71,67.01
30.4,43.43,4.62,1016.28,34.01
26.0,86.69,1.99,1015.25,58.94
20.47,98.9,10.76,1013.11,78.36
30.18,62.5,22.38,1016.95,58.38
26.84,52.21,23.98,1003.88,64.6
33.37,89.86,9.28,1004.4,69.88
33.66,75.9,5.68,998.9,62.79
27.15,70.92,7.9,1004.25,57.88
26.2,83.04,14.69,995.45,82.69
35.55,96.25,18.0,1007.51,85.14
30.07,46.97,9.49,1001.43,46.77
36.9,58.34,1.17,1010.98,42.65
21.52,58.97,24.16,1006.88,65.58
26.42,84.85,15.4,1006.45,78.18
30.24,83.75,8.15,1008.97,72.03
25.47,53.8,25.91,994.77,71.27
23.64,75.35,20.23,991.02,78.32
35.01,68.28,25.18,1012.8,68.58
32.51,44.72,21.4,1009.83,55.44
37.25,58.95,13.96,1012.98,58.25
29.77,85.31,20.83,991.24,82.25
23.62,70.06,15.97,1010.5,59.77
22.69,74.58,18.75,991.35,81.83
27.82,67.92,11.27,993.4,69.17
38.31,50.68,18.66,1001.21,58.72
36.01,87.61,24.91,991.03,92.42
27.66,74.73,26.9,1012.05,71.21
28.68,49.88,4.08,1007.44,43.04
30.67,72.47,2.97,1017.01,48.37
36.92,87.22,9.27,1010.5,70.75
35.69,55.54,21.05,1010.68,61.9
23.36,69.41,8.86,1017.64,56.09
29.0,97.55,8.39,994.1,79.61
24.7,93.75,11.03,1005.21,82.07
22.96,86.13,15.68,993.04,81.25
24.8,50.25,9.37,1001.07,49.01
32.56,96.43,25.13,1006.09,91.68
37.19,45.99,4.2,1006.02,44.58
28.41,87.92,13.51,993.37,78.96
32.23,83.21,3.2,1008.87,66.75
22.65,89.39,20.01,1012.08,81.95
21.38,81.44,0.27,993.24,71.46
23.98,72.48,27.12,994.86,81.16
37.77,75.75,12.47,991.54,75.19
25.99,60.01,15.73,999.82,65.44
22.21,45.95,11.94,996.87,51.4
21.21,92.52,22.7,999.13,86.77
32.12,67.52,14.33,991.85,71.68
27.2,63.32,9.06,1012.96,50.8
25.68,58.07,23.58,1016.61,64.86
29.27,42.96,13.09,994.05,55.61
38.63,85.51,17.04,999.89,77.34
22.09,85.38,11.39,1013.04,70.41
20.6,58.2,29.67,993.97,79.87
34.84,70.53,27.74,990.48,79.98
24.63,57.76,6.67,1004.53,52.56
34.73,98.44,11.69,1017.3,79.3
39.13,85.38,10.52,993.77,79.3
28.64,90.42,17.89,1009.21,83.86
29.66,53.74,2.48,990.75,52.45
28.98,84.27,2.39,1013.46,58.35
36.18,50.31,21.64,994.8,68.51
34.4,60.11,29.1,1000.2,70.06
35.08,86.64,27.89,1003.16,89.07
22.4,42.95,9.76,1015.56,45.54
38.63,43.96,26.96,1019.56,57.66
27.06,92.93,26.6,1000.61,88.8
21.4,43.8,19.89,997.69,58.25
37.63,81.63,21.82,993.47,88.39
32.19,65.15,16.67,1004.34,69.6
25.07,77.22,15.99,1007.63,72.88
33.54,65.54,3.78,995.44,56.87
38.87,98.44,7.65,1008.76,74.43
27.38,51.13,5.42,1019.69,40.91
33.96,77.3,5.5,1012.66,61.26
37.88,59.18,24.54,1019.41,65.37
33.55,42.05,17.33,1007.39,52.95
39.66,45.15,27.4,1017.35,58.59
28.4,43.12,8.97,1018.33,34.93
27.02,41.61,3.88,1000.09,39.52
37.24,78.13,4.32,1011.02,56.86
34.28,48.5,13.6,993.04,60.76
28.39,50.15,26.99,997.43,67.39
24.66,42.56,2.28,997.56,44.02
37.46,54.92,8.26,1003.83,49.22
38.83,65.95,5.8,1009.51,53.22
36.54,62.32,4.7,1005.22,58.5
31.3,47.71,19.42,1017.17,51.74
32.64,73.86,21.71,1007.13,74.36
24.08,80.98,7.03,996.83,69.18
27.81,77.02,16.05,1005.12,70.6
23.74,71.42,11.07,1014.79,64.11
37.03,85.81,8.71,1006.96,71.72
22.58,62.51,3.53,994.98,60.03
22.83,81.34,0.79,1009.58,59.75
26.28,50.6,9.72,1012.7,43.43
35.12,54.38,14.66,994.57,58.44
22.43,99.95,15.67,992.06,90.02
37.85,98.1,4.25,993.47,85.49
33.34,81.91,5.45,992.93,72.22
32.73,98.56,4.87,1008.33,72.55
24.3,66.56,13.21,1000.3,65.23
32.0,42.01,3.89,994.6,43.27
32.84,94.86,0.67,996.99,77.31
36.25,88.97,15.86,1010.32,80.89
32.02,90.97,12.06,1001.26,81.98
25.29,59.93,15.85,1006.99,56.82
36.07,50.89,19.77,1010.56,60.85
28.34,58.26,23.68,1001.7,71.63
28.22,50.95,28.55,1017.19,58.1
28.01,76.77,11.89,993.98,72.57
34.47,67.5,24.86,995.82,81.08
24.59,65.7,2.87,992.75,55.97
26.09,47.67,2.39,998.42,43.7
24.31,40.7,9.17,1000.52,43.76
20.8,83.04,25.34,1008.12,76.37
22.73,89.01,18.22,997.4,85.6
22.32,65.13,12.28,1013.08,55.84
20.43,87.22,8.93,1003.04,75.95
35.38,53.74,11.03,998.95,56.41
21.41,93.72,24.84,1019.65,77.03
34.46,89.1,8.89,990.23,82.52
20.31,85.2,27.88,1007.87,85.44
28.48,82.84,27.38,1013.93,80.22
27.59,58.76,28.7,991.95,72.64
27.66,95.42,19.77,1002.04,87.16
22.75,82.69,4.69,995.82,73.21
35.6,71.49,16.54,1014.21,60.29
25.85,73.99,25.16,1006.28,76.72
20.1,99.0,20.35,999.05,86.97
25.77,92.44,0.91,1012.96,69.13
28.06,40.96,16.42,992.79,56.92
34.01,93.47,6.25,1000.13,80.36
33.61,60.16,8.22,995.47,64.24
39.43,50.49,7.69,1009.43,43.89
24.41,75.42,19.29,1019.84,65.97
24.06,49.36,8.71,1019.31,40.95
23.24,40.22,18.89,1019.91,43.17
30.92,54.43,26.97,994.47,69.43
33.6,68.9,3.34,1006.04,53.04
39.5,87.45,20.66,1019.16,76.48
29.0,55.53,29.19,1014.68,59.53
26.37,84.53,19.55,996.47,85.41
23.55,74.35,9.25,1015.79,61.29
20.68,52.67,11.12,1006.6,53.09
34.42,62.37,8.21,993.7,57.54
33.87,87.31,5.8,996.9,72.72
28.6,88.77,15.99,1001.18,77.79
27.15,69.29,18.31,1002.7,74.84
21.42,42.64,10.28,1011.22,43.83
26.48,64.96,10.93,996.03,68.39
33.45,43.94,1.33,997.84,47.11
25.11,54.38,20.37,1011.28,56.75
26.81,87.14,0.11,996.71,71.86
20.56,66.11,15.94,1005.03,67.63
25.31,59.88,11.31,1009.83,58.24
24.29,59.51,13.15,991.51,65.64
22.41,86.75,17.03,1011.39,79.82
38.33,74.95,2.72,1013.49,51.09
33.68,78.73,12.0,997.89,77.56
37.78,80.03,12.72,1019.93,62.49
39.39,43.04,10.91,990.16,53.98
27.03,71.77,11.15,1011.0,57.7
24.13,61.31,23.0,992.84,68.84
39.48,42.39,16.26,1010.92,49.77
34.71,80.35,1.51,1019.8,58.79
21.43,97.57,24.04,999.3,94.9
22.08,58.52,12.94,1010.02,53.56
20.51,47.08,15.87,1000.32,51.24
39.02,74.92,3.99,991.87,66.33
26.64,57.57,16.19,1003.12,61.55
23.57,78.87,5.31,1005.83,63.07
23.46,56.28,12.23,990.2,67.73
21.76,61.35,3.88,995.36,55.63
27.05,54.03,19.19,1002.39,62.33
20.43,59.28,9.56,990.46,58.54
29.01,71.63,2.03,1000.96,60.35
22.9,99.81,17.56,990.22,92.84
38.53,68.21,27.29,998.15,79.06
23.85,75.37,12.36,995.65,74.99
22.7,75.15,14.95,1002.94,71.88
34.59,92.84,2.68,995.21,77.57
33.27,91.34,22.77,998.36,85.07
25.28,62.09,1.04,998.07,56.53
23.98,83.75,20.31,995.57,79.43
38.62,74.13,29.48,990.02,92.1
25.36,87.42,0.14,992.6,75.46
37.46,81.94,16.88,991.56,77.62
38.91,68.06,2.08,1008.23,52.18
38.45,44.63,10.24,991.89,53.41
33.1,62.11,28.79,1015.49,66.88
34.97,52.88,17.84,1016.22,47.9
30.65,97.48,20.55,993.93,93.76
20.21,63.2,6.83,1018.82,47.78
21.2,43.08,27.34,1010.16,59.37
38.6,81.14,25.42,990.2,93.12
31.21,98.03,27.01,993.12,102.03
38.16,51.58,10.74,1004.04,51.86
35.52,57.18,2.69,1003.73,52.72
23.94,68.67,28.7,1000.08,81.98
34.47,88.26,18.72,1018.21,76.23
28.79,40.04,7.49,1011.58,37.79
31.37,69.66,3.82,1019.71,54.34
26.25,70.01,18.55,1006.21,68.38
33.81,47.95,1.45,990.13,51.93
29.79,96.52,16.58,1008.44,81.45
23.21,73.47,9.19,1003.4,63.87
30.01,75.93,23.82,996.34,83.69
37.67,69.3,2.63,1018.14,49.82
35.4,81.38,13.59,1007.47,75.66
33.93,61.18,22.97,1014.08,67.87
33.35,60.02,7.72,999.82,59.15
36.8,42.52,5.36,1008.39,41.15
38.08,68.57,18.53,991.04,73.59
35.76,51.76,0.24,1014.98,36.55
28.65,68.18,5.42,992.9,63.74
29.98,65.09,4.47,1012.46,49.87
39.61,52.69,8.71,995.54,58.69
21.04,55.79,22.1,1014.51,57.48
24.95,53.93,3.91,994.72,58.02
26.03,45.38,17.39,1008.35,47.3
38.95,53.52,12.0,993.96,62.57
23.72,48.69,9.42,1017.48,47.35
25.15,76.75,9.94,996.12,66.09
27.61,65.58,24.28,1015.43,67.12
30.89,64.19,6.5,1016.25,52.83
25.89,82.12,25.95,1005.78,83.71
23.94,94.95,2.66,990.72,80.71
34.53,84.25,1.08,1005.63,63.41
27.03,49.0,23.97,996.67,66.7
24.68,40.47,21.84,993.28,63.65
30.38,60.8,3.45,991.53,59.39
35.53,42.13,0.11,1010.73,31.84
25.64,65.28,8.05,1005.82,56.76
22.92,69.04,23.0,1008.44,69.18
39.08,85.49,12.4,999.22,74.26
32.93,56.62,2.35,1012.86,47.4
27.78,46.62,17.41,997.49,56.77
30.94,74.2,22.32,1015.55,72.83
21.18,77.12,15.05,1006.4,74.16
38.9,98.14,6.14,999.21,77.75
24.61,91.64,4.61,1013.36,64.42
29.42,88.27,11.55,1009.24,74.76
31.0,67.2,21.9,993.04,75.44
33.04,53.07,18.56,1007.49,56.33
22.01,53.56,21.38,1009.01,62.78
33.69,84.13,1.31,1018.89,56.72
33.56,64.22,28.14,990.85,77.43
23.98,90.5,23.79,1015.18,80.61
36.45,60.15,24.29,1002.9,64.82
21.02,92.44,16.42,999.04,80.59
21.59,54.17,11.62,1005.74,51.51
39.16,48.71,6.98,1010.0,42.58
26.61,91.83,19.08,993.72,83.61
39.07,80.44,26.21,1019.21,69.76
35.56,89.14,4.85,1008.2,65.42
38.45,86.27,8.8,995.1,79.12
31.79,76.73,4.31,990.03,68.91
37.47,75.74,1.95,1014.1,50.72
30.9,46.56,10.85,1004.29,44.94
38.19,96.14,22.42,1012.75,84.85
22.83,88.1,11.09,1002.5,80.07
39.69,46.03,25.42,1009.5,61.25
33.58,91.67,21.1,1009.2,78.13
