Weight,Duration,HeartRate,ExerciseType,Calories
59.1,24.01,110.44,Walking,143.61
81.45,24.42,111.16,Cycling,189.18
82.89,72.81,107.27,Running,622.85
60.13,77.39,128.5,Running,674.02
56.9,66.46,104.32,Running,568.65
70.25,40.54,108.99,Walking,196.32
92.98,83.82,129.39,Walking,383.92
62.31,79.43,123.21,Running,692.61
95.97,19.58,155.52,Walking,143.73
93.71,47.35,119.72,Running,415.81
64.32,68.07,105.88,Running,572.91
76.34,67.36,114.32,Running,592.2
89.28,63.29,126.72,Cycling,439.8
78.83,48.98,106.11,Walking,222.35
96.99,47.54,118.59,Running,417.01
82.0,59.68,136.89,Walking,302.68
82.04,56.62,92.91,Cycling,367.7
68.1,54.6,97.44,Walking,269.39
85.32,13.19,144.75,Walking,90.59
62.36,33.43,127.07,Cycling,253.46
52.08,51.57,159.73,Walking,267.51
69.94,10.44,117.21,Running,126.16
72.66,75.68,96.18,Cycling,489.68
97.88,25.1,142.94,Cycling,215.87
76.84,77.93,167.0,Walking,362.09
88.8,44.63,129.1,Running,412.82
92.15,64.55,167.34,Walking,317.61
84.69,61.21,130.7,Walking,285.09
93.87,54.14,126.57,Walking,276.39
58.36,16.04,101.81,Walking,110.14
67.37,50.93,147.8,Cycling,341.86
60.7,13.97,118.62,Running,153.62
78.67,17.19,161.24,Walking,139.54
95.13,29.1,97.4,Cycling,202.42
58.35,63.42,93.33,Running,536.94
95.32,86.23,141.03,Running,737.6
64.82,61.05,113.2,Running,521.43
73.82,12.09,116.32,Cycling,108.83
80.27,59.89,168.97,Cycling,405.47
80.92,44.14,148.13,Running,418.02
82.43,32.29,148.78,Running,314.4
83.5,64.92,107.48,Cycling,431.45
53.4,21.94,152.35,Walking,145.25
98.96,36.31,107.66,Walking,176.01
84.82,52.87,100.66,Walking,236.57
75.07,53.74,162.97,Running,491.19
74.52,26.79,144.17,Walking,161.65
66.16,36.31,150.18,Cycling,278.77
97.45,70.06,158.81,Running,622.66
53.06,32.47,90.04,Running,291.63
84.01,37.71,154.24,Walking,210.35
50.49,31.31,100.05,Cycling,237.11
56.99,36.12,158.43,Running,349.26
74.58,40.39,120.26,Walking,190.92
56.38,68.01,105.19,Cycling,438.59
81.44,67.33,136.59,Cycling,467.86
73.44,63.64,165.77,Cycling,428.99
53.18,53.31,101.7,Cycling,352.64
84.97,87.49,141.41,Cycling,589.32
84.65,83.48,123.8,Cycling,556.27
94.6,54.33,169.12,Running,507.61
96.52,23.94,115.85,Cycling,176.6
61.09,46.19,117.16,Running,409.41
73.33,58.69,146.68,Walking,284.58
77.41,38.71,155.92,Walking,211.76
89.21,77.49,124.89,Walking,354.49
54.55,31.3,96.25,Cycling,231.73
52.3,84.18,152.87,Running,712.69
80.92,71.04,98.63,Running,617.04
87.84,71.78,147.27,Cycling,497.01
86.0,39.43,136.87,Cycling,289.33
57.04,24.27,137.84,Walking,144.16
98.93,31.61,115.14,Walking,183.85
76.41,64.6,149.62,Cycling,430.32
98.74,32.81,110.01,Cycling,233.21
99.43,22.88,126.39,Running,220.63
91.12,25.91,122.61,Walking,162.24
87.17,41.33,145.47,Running,380.63
53.37,83.9,143.02,Cycling,551.54
84.52,29.61,91.03,Running,281.35
51.3,66.53,114.46,Cycling,450.33
92.15,55.02,120.84,Walking,253.55
92.6,20.05,103.13,Cycling,164.89
81.23,32.65,93.62,Walking,156.75
67.81,86.26,102.36,Cycling,565.55
96.28,89.51,161.38,Walking,412.59
55.49,15.33,165.08,Running,177.3
81.83,33.86,108.55,Running,314.93
94.77,36.54,98.35,Cycling,272.38
51.74,22.22,110.99,Walking,132.36
53.71,70.56,146.32,Cycling,487.42
57.54,67.64,166.18,Running,607.66
95.99,85.2,132.33,Walking,384.32
77.34,79.46,134.74,Running,676.52
81.53,13.35,138.14,Walking,96.35
91.87,12.95,148.68,Walking,120.02
83.67,69.24,148.37,Cycling,462.78
96.91,37.63,158.34,Cycling,282.67
54.84,39.16,141.24,Running,366.06
50.76,55.71,116.52,Walking,276.43
76.63,42.2,96.37,Walking,192.87
89.57,41.65,108.26,Running,382.58
82.07,54.79,166.69,Cycling,394.27
67.28,37.45,147.23,Running,345.41
86.31,80.13,144.81,Walking,366.05
53.65,79.37,158.76,Walking,374.64
54.29,48.1,128.19,Cycling,340.29
73.44,46.85,116.49,Walking,218.87
51.2,69.97,94.44,Cycling,448.55
65.2,44.61,156.14,Cycling,325.48
69.46,80.63,124.57,Running,681.29
84.16,34.35,108.89,Walking,172.53
95.88,56.59,124.89,Walking,287.24
99.98,75.87,115.64,Walking,356.35
51.93,37.3,116.72,Running,344.03
66.35,89.06,168.9,Walking,409.5
64.58,16.35,119.54,Walking,110.76
54.76,67.33,100.31,Running,569.32
67.08,50.7,128.27,Walking,252.68
64.67,36.84,112.2,Walking,198.89
91.83,53.88,97.29,Cycling,357.72
76.57,72.06,131.58,Cycling,484.78
76.01,42.74,99.31,Cycling,291.54
61.67,44.21,153.29,Running,416.09
58.7,62.61,123.07,Walking,305.86
97.69,41.36,136.55,Cycling,301.5
97.26,82.88,163.64,Running,711.78
82.17,40.51,133.02,Walking,198.51
78.39,36.33,169.55,Walking,217.68
97.36,37.43,108.9,Cycling,258.24
50.67,49.91,122.94,Running,443.52
97.69,59.4,134.93,Cycling,416.94
61.2,87.34,129.94,Walking,390.77
69.92,85.04,93.69,Running,722.78
72.99,21.97,146.37,Cycling,196.13
59.47,60.5,108.69,Cycling,392.02
68.47,27.71,138.31,Cycling,209.8
76.65,32.98,160.52,Running,320.21
61.03,32.07,150.94,Running,293.6
92.83,16.43,157.17,Cycling,159.82
64.89,44.55,165.34,Running,400.48
96.46,87.19,137.49,Running,757.33
72.23,23.29,167.24,Walking,154.14
65.15,39.26,120.79,Cycling,268.19
86.3,68.36,110.55,Walking,305.28
84.46,81.09,136.97,Running,707.76
51.58,33.8,121.06,Running,318.53
66.43,25.39,158.97,Running,262.12
73.76,62.53,140.1,Walking,302.64
91.66,12.44,169.24,Cycling,128.77
98.1,69.24,146.5,Running,595.79
53.15,77.5,112.6,Cycling,510.06
50.05,30.65,162.96,Running,296.83
56.03,60.95,93.39,Running,535.71
87.09,58.41,108.34,Running,499.13
98.93,59.71,155.46,Running,538.44
93.61,22.87,162.05,Running,229.67
89.29,23.02,92.57,Running,231.33
84.68,77.63,168.55,Cycling,525.35
51.18,49.44,102.3,Running,445.58
72.57,37.53,140.11,Walking,195.44
99.77,27.04,131.85,Walking,164.57
57.3,51.03,153.45,Running,456.23
62.46,88.09,110.73,Running,749.61
53.26,27.23,155.14,Running,281.25
80.7,29.2,169.12,Cycling,233.28
62.34,12.17,99.54,Cycling,99.84
51.91,47.34,90.6,Walking,214.73
73.98,61.8,94.88,Running,518.2
51.92,69.1,133.79,Running,610.77
85.51,57.21,161.69,Walking,289.77
80.08,65.7,151.58,Walking,305.04
81.74,79.98,158.77,Cycling,548.87
99.65,54.22,105.63,Cycling,365.41
70.64,85.56,103.49,Walking,377.42
71.58,76.66,133.66,Running,645.65
87.1,79.67,109.7,Cycling,506.76
78.04,27.87,161.3,Running,281.6
63.35,74.91,160.69,Cycling,498.62
88.16,29.52,100.44,Running,268.78
60.45,70.37,106.96,Walking,332.41
69.88,50.11,123.1,Cycling,355.21
85.73,81.98,148.39,Walking,366.62
90.1,50.64,141.81,Cycling,345.56
54.56,39.03,149.93,Running,353.67
66.84,69.96,123.48,Cycling,458.27
86.23,12.96,109.87,Walking,90.48
82.35,64.8,101.16,Running,551.38
69.21,62.21,100.68,Cycling,401.1
55.45,61.65,94.79,Running,534.57
62.41,29.79,144.89,Running,283.26
56.23,41.3,163.33,Cycling,303.71
76.82,83.2,116.51,Running,707.54
64.39,25.48,93.43,Cycling,200.65
85.22,77.25,100.46,Cycling,491.83
88.92,19.01,126.96,Running,200.64
95.76,71.01,103.99,Cycling,455.58
82.47,28.69,160.72,Running,297.55
87.02,19.58,94.43,Walking,129.63
50.2,11.68,143.18,Walking,93.66
89.18,43.54,168.34,Running,401.65
63.49,55.13,144.89,Running,495.89
81.6,86.22,133.37,Cycling,579.37
51.91,10.5,118.98,Walking,85.18
69.28,67.48,145.21,Walking,315.07
66.14,35.33,142.92,Cycling,253.77
89.16,78.34,113.61,Cycling,507.66
76.16,52.44,95.74,Cycling,338.11
58.55,68.15,99.33,Cycling,431.51
90.63,18.4,111.25,Running,176.24
96.95,52.8,123.57,Running,464.81
56.46,41.27,119.96,Walking,206.76
84.19,66.63,146.22,Running,597.41
84.68,48.07,156.67,Running,449.45
61.23,79.98,101.98,Running,667.58
59.24,89.97,135.23,Running,752.17
88.5,22.0,103.47,Running,228.43
84.63,64.71,143.66,Running,583.53
88.14,74.73,150.82,Cycling,505.1
72.36,53.13,112.3,Walking,246.5
74.0,78.89,126.89,Running,674.42
78.0,39.17,145.12,Running,366.2
86.69,13.08,141.21,Walking,113.94
96.09,87.76,110.95,Running,752.86
78.48,66.56,131.72,Walking,322.98
72.45,43.07,138.15,Running,395.4
65.7,73.44,156.0,Walking,359.28
98.11,50.57,117.79,Running,462.94
55.87,36.18,150.6,Walking,186.28
52.73,42.62,163.69,Walking,224.38
95.87,22.68,140.17,Cycling,173.77
77.78,70.64,98.87,Cycling,455.33
74.2,47.33,92.61,Cycling,321.67
74.66,63.63,148.6,Cycling,446.74
64.59,42.75,102.51,Walking,208.32
59.1,80.76,155.56,Running,707.84
56.09,65.39,165.66,Cycling,452.89
96.6,14.93,164.38,Walking,121.08
56.02,77.78,101.61,Cycling,494.16
63.27,11.69,149.28,Cycling,118.25
60.33,24.5,133.37,Walking,153.31
84.59,62.51,157.15,Running,568.74
61.9,82.92,100.14,Cycling,541.01
60.35,73.63,110.66,Walking,339.67
66.43,75.58,165.1,Running,663.0
63.59,46.7,165.54,Walking,253.61
70.95,87.01,153.01,Cycling,570.77
62.97,28.82,121.18,Walking,145.97
93.29,57.51,142.65,Cycling,390.45
92.62,79.58,166.1,Walking,391.26
77.8,11.2,151.18,Running,148.03
83.47,24.87,161.23,Walking,167.8
94.22,58.39,130.61,Cycling,393.9
56.92,34.22,163.03,Cycling,255.32
85.24,11.52,163.3,Walking,117.76
50.09,86.3,113.08,Walking,371.14
95.51,53.28,151.67,Cycling,379.61
67.99,29.59,103.8,Cycling,227.03
78.05,27.54,114.25,Running,274.95
77.85,82.83,146.02,Running,724.05
89.45,15.19,97.92,Cycling,126.05
65.99,81.3,107.28,Running,688.08
89.12,84.9,120.07,Walking,384.97
98.06,87.19,150.57,Running,762.95
75.62,69.58,108.99,Cycling,448.93
70.35,80.57,118.63,Running,691.6
60.37,51.57,143.45,Walking,245.61
79.4,61.91,135.25,Walking,308.86
89.29,51.69,138.98,Walking,248.21
69.79,75.91,129.44,Running,668.07
51.81,79.53,101.92,Running,669.76
69.9,34.18,101.56,Walking,168.39
60.66,15.51,109.53,Cycling,143.97
86.78,61.8,107.72,Cycling,419.32
59.32,63.67,95.38,Walking,277.35
58.27,87.92,121.79,Walking,383.82
77.3,55.81,103.46,Cycling,371.62
64.72,66.89,150.49,Running,589.11
72.16,22.24,112.14,Cycling,167.31
69.78,82.3,117.74,Cycling,535.12
60.34,81.48,168.77,Running,711.33
65.47,26.57,109.04,Running,240.82
50.03,38.92,142.19,Cycling,286.45
97.61,24.97,131.31,Cycling,208.34
80.85,26.7,111.12,Running,256.52
96.51,33.62,145.74,Running,307.58
77.23,34.68,161.58,Walking,199.91
86.16,72.97,93.39,Running,609.86
89.87,30.07,162.18,Cycling,224.17
92.49,74.3,149.86,Walking,359.75
80.65,34.66,130.42,Walking,193.05
52.09,42.93,128.1,Cycling,308.22
90.39,66.51,166.94,Cycling,472.31
50.13,67.44,101.78,Cycling,433.38
57.64,79.11,133.61,Cycling,526.53
61.33,20.78,118.18,Walking,122.87
56.98,73.7,118.59,Cycling,478.29
60.22,71.81,104.22,Cycling,468.64
94.32,46.63,144.78,Cycling,325.35
72.64,63.12,143.47,Walking,311.05
93.04,15.6,165.24,Walking,119.7
88.67,63.64,156.35,Cycling,428.01
54.02,25.26,97.93,Walking,126.02
74.99,19.97,163.09,Cycling,179.26
53.11,38.82,123.51,Running,339.52
79.89,45.02,116.37,Cycling,299.11
86.36,82.67,105.57,Running,695.61
92.13,43.42,158.81,Cycling,316.45
64.21,54.2,156.81,Cycling,384.85
74.03,39.82,111.15,Cycling,278.52
55.3,76.34,98.14,Running,647.02
83.89,71.48,102.61,Running,610.09
91.57,51.24,95.7,Walking,244.83
73.0,62.3,156.89,Running,560.66
88.0,31.34,134.93,Cycling,227.33
95.47,41.79,102.08,Running,369.03
92.65,79.14,137.91,Cycling,520.68
91.65,45.69,134.93,Walking,224.32
95.72,49.62,116.16,Walking,232.24
96.47,77.4,94.52,Running,656.62
92.83,16.37,128.25,Running,168.09
84.08,75.39,102.99,Cycling,506.18
89.56,50.29,112.0,Walking,249.43
55.32,59.15,94.63,Running,509.17
82.03,46.93,98.32,Running,401.84
92.91,82.1,141.22,Walking,366.06
51.17,50.18,98.57,Walking,235.86
50.83,47.44,166.88,Running,425.91
69.73,33.26,98.09,Cycling,243.52
69.07,84.1,137.81,Walking,390.99
91.37,74.21,122.44,Walking,340.67
54.21,78.59,118.57,Running,675.96
68.84,22.45,157.88,Running,245.06
87.05,62.97,166.15,Cycling,429.65
99.55,26.39,156.86,Cycling,203.72
87.47,39.62,91.07,Walking,206.8
68.63,72.22,152.29,Cycling,491.99
57.02,83.34,96.31,Cycling,544.19
60.74,30.74,133.31,Walking,181.35
68.07,53.88,155.27,Running,494.84
56.58,12.06,121.12,Cycling,111.08
56.01,37.74,135.66,Cycling,270.43
95.52,34.0,100.93,Cycling,229.5
91.23,79.31,116.72,Cycling,521.33
51.38,11.46,93.5,Cycling,105.19
85.28,77.42,130.85,Running,682.0
84.91,16.78,150.29,Running,177.16
66.82,28.06,158.09,Cycling,236.13
87.22,72.06,125.92,Cycling,480.23
65.48,86.44,100.76,Cycling,562.23
77.74,78.99,163.12,Running,697.16
77.07,70.59,115.92,Walking,324.63
59.83,60.96,141.86,Running,544.85
84.45,89.72,142.43,Running,778.35
98.09,84.98,139.62,Cycling,563.55
97.51,64.92,148.53,Running,573.89
79.95,86.94,134.42,Walking,393.36
53.2,59.99,100.0,Walking,269.52
73.66,26.61,160.57,Walking,169.39
61.94,47.78,118.27,Cycling,317.65
73.73,81.13,90.97,Running,682.79
96.7,32.79,167.55,Cycling,268.02
80.62,68.03,104.76,Running,597.44
75.31,78.21,149.11,Cycling,515.98
76.91,64.46,115.39,Running,551.87
93.69,46.2,165.69,Walking,247.31
89.39,60.92,102.56,Cycling,411.33
99.05,48.6,127.42,Cycling,330.09
56.32,10.4,136.63,Cycling,107.04
72.95,62.05,120.77,Cycling,420.42
97.59,50.93,129.62,Running,446.51
87.75,68.47,147.18,Running,595.16
81.19,30.43,110.35,Walking,153.92
63.65,13.02,106.05,Running,140.58
64.81,67.86,137.15,Cycling,452.56
97.95,78.39,138.68,Running,675.44
97.98,40.89,141.44,Cycling,296.09
93.66,58.11,163.94,Walking,305.81
73.12,36.42,92.54,Running,326.33
72.27,52.43,157.5,Walking,271.87
95.17,80.63,136.37,Walking,378.29
60.01,42.2,115.57,Walking,211.9
66.25,66.17,100.04,Cycling,444.1
78.08,62.65,145.38,Running,550.93
61.26,14.19,120.54,Running,141.41
75.8,32.9,152.51,Cycling,254.86
73.57,78.02,168.31,Walking,359.96
51.33,15.45,154.6,Running,171.2
98.22,41.31,126.35,Running,371.81
57.36,87.85,107.42,Walking,404.36
53.11,75.67,110.37,Running,630.49
95.36,72.18,126.16,Walking,324.24
58.0,66.52,143.94,Running,578.81
62.95,14.29,127.54,Walking,102.3
75.58,25.13,158.84,Cycling,205.35
53.94,10.48,130.66,Cycling,94.82
55.61,89.13,121.93,Cycling,581.39
54.23,79.52,98.99,Cycling,519.87
61.82,35.02,123.48,Cycling,250.61
99.03,53.86,90.84,Walking,246.33
61.45,51.87,110.77,Running,463.65
74.47,72.21,154.92,Cycling,478.97
63.39,63.47,157.19,Cycling,445.46
56.95,31.66,112.95,Running,304.86
50.94,56.41,111.73,Cycling,366.09
97.01,62.28,151.85,Running,556.83
76.67,39.06,94.3,Cycling,275.94
94.1,41.36,147.7,Cycling,301.07
56.02,86.1,149.34,Walking,404.43
74.97,30.25,128.79,Running,275.3
96.77,37.28,104.8,Running,350.18
96.41,77.77,98.76,Running,654.53
75.85,21.4,129.46,Walking,125.73
60.99,30.97,144.84,Cycling,225.36
51.26,22.46,157.12,Running,220.43
95.3,87.12,168.46,Running,760.75
92.74,68.32,128.84,Running,602.7
95.21,72.83,109.77,Running,636.76
54.7,12.44,137.53,Running,147.65
59.38,38.93,95.06,Walking,194.3
63.16,36.42,151.08,Cycling,274.87
93.52,31.93,167.61,Walking,191.79
76.78,58.45,152.37,Running,527.15
63.99,34.33,105.49,Running,307.98
90.21,64.61,138.14,Walking,322.18
80.52,40.08,133.42,Walking,197.62
72.98,30.51,152.99,Cycling,249.75
99.57,38.43,140.76,Running,373.66
65.17,86.32,106.73,Cycling,556.45
76.73,70.65,160.91,Walking,331.18
72.31,23.89,129.96,Walking,140.75
81.01,68.55,158.38,Walking,344.21
53.93,82.99,167.34,Running,721.47
61.36,60.82,124.43,Running,529.35
50.11,51.86,126.78,Cycling,350.79
86.07,76.53,143.86,Walking,345.66
71.63,16.46,105.25,Running,155.99
77.98,43.06,148.09,Running,404.92
57.9,45.05,124.78,Cycling,310.66
57.88,52.82,92.31,Cycling,348.09
52.7,18.4,108.61,Running,194.63
69.51,76.83,150.06,Walking,370.43
56.33,29.35,107.12,Cycling,211.01
75.14,27.01,143.99,Walking,166.57
91.97,76.45,126.02,Walking,364.6
69.81,78.8,92.01,Walking,354.88
65.93,26.47,110.92,Cycling,213.61
99.24,71.07,162.99,Cycling,491.6
88.04,51.86,158.51,Running,485.29
78.32,54.35,109.15,Walking,249.53
91.28,66.3,123.23,Walking,297.18
87.91,32.22,127.43,Cycling,245.51
87.14,76.6,135.2,Cycling,497.34
60.98,80.4,98.94,Cycling,524.36
97.19,87.76,168.68,Cycling,583.64
82.75,30.35,114.55,Cycling,211.09
52.52,62.77,92.36,Walking,287.12
98.91,77.81,156.07,Walking,382.3
55.53,54.68,102.16,Walking,259.98
67.03,27.23,114.77,Running,270.96
52.59,65.85,133.28,Cycling,440.59
91.15,11.63,109.04,Running,139.61
99.12,17.82,119.86,Walking,108.63
53.68,31.64,140.69,Walking,174.06
80.82,78.19,98.32,Cycling,518.54
79.95,35.05,105.88,Cycling,240.8
67.59,54.9,111.91,Walking,246.47
95.52,10.78,91.42,Running,116.83
74.65,27.01,108.29,Running,241.74
64.23,17.55,167.73,Cycling,170.7
80.35,19.59,164.67,Walking,149.36
93.12,38.62,153.49,Walking,206.88
65.81,55.54,161.92,Walking,276.71
92.38,53.16,154.85,Running,475.12
73.02,37.69,143.15,Running,351.38
71.9,44.55,91.48,Running,389.42
82.42,14.67,104.66,Running,162.6
78.34,13.82,91.1,Walking,101.62
82.1,34.82,95.21,Running,322.29
56.56,56.42,125.22,Running,481.71
51.71,55.35,105.53,Cycling,374.94
97.48,14.25,105.64,Walking,83.46
78.81,79.41,124.58,Walking,350.54
61.07,21.1,141.88,Cycling,180.12
60.02,58.42,110.24,Walking,287.33
57.89,75.28,169.24,Cycling,504.34
85.63,24.48,95.42,Running,221.29
93.4,56.98,159.27,Walking,277.49
98.13,63.06,107.92,Walking,291.18
63.42,64.69,149.33,Cycling,430.09
71.44,42.79,104.17,Running,370.5
54.49,56.72,150.77,Walking,289.78
94.83,31.41,154.96,Running,303.2
52.39,64.89,110.13,Walking,311.72
92.97,16.62,149.57,Cycling,163.55
60.12,34.68,163.27,Running,330.55
59.89,61.36,139.84,Cycling,414.96
96.23,64.72,118.75,Running,557.11
73.59,85.94,90.93,Running,726.15
92.68,75.7,167.48,Running,667.14
76.49,59.69,126.82,Running,520.59
85.75,66.75,159.57,Walking,323.75
76.16,36.83,144.75,Running,344.38
51.58,66.91,107.3,Walking,312.55
97.2,18.52,130.73,Cycling,160.56
52.46,69.81,160.99,Walking,339.09
73.45,27.06,104.42,Walking,142.22
92.15,21.58,164.78,Running,245.43
66.94,69.91,103.23,Walking,324.98
95.66,33.37,115.33,Cycling,236.92
69.0,56.85,98.24,Walking,266.17
56.7,13.98,115.51,Walking,87.53
63.29,19.91,110.57,Cycling,154.33
85.74,11.03,138.11,Walking,104.05
53.96,61.23,117.56,Cycling,420.57
96.92,81.31,124.94,Running,708.38
66.89,44.01,127.8,Running,405.14
99.17,13.3,107.16,Walking,102.04
79.64,37.72,154.87,Running,343.89
93.15,16.74,121.03,Running,185.93
67.35,82.67,114.91,Cycling,529.56
56.61,30.74,168.0,Cycling,254.15
57.97,52.16,97.16,Running,459.41
79.24,11.17,127.3,Walking,80.14
90.17,19.91,91.62,Running,207.87
52.54,67.36,103.07,Running,579.66
56.54,86.7,127.73,Running,730.07
54.51,58.82,101.77,Running,494.36
54.24,67.75,146.19,Walking,323.7
53.38,32.13,143.75,Walking,173.0
74.4,21.05,131.83,Running,212.43
57.16,31.73,123.46,Cycling,246.84
61.42,81.05,92.23,Walking,350.09
54.17,32.5,120.38,Running,313.88
90.17,32.3,109.98,Running,309.98
56.54,63.23,109.23,Walking,289.82
82.02,45.49,102.57,Walking,215.65
90.63,60.24,119.22,Running,526.21
58.77,12.19,149.0,Cycling,117.63
91.77,86.19,158.52,Running,736.06
60.28,65.12,117.9,Running,559.58
51.98,40.89,138.89,Walking,196.39
57.95,20.71,122.5,Walking,126.6
64.32,69.13,139.27,Walking,310.08
96.32,15.52,157.97,Walking,104.86
51.16,65.75,130.75,Cycling,444.64
81.25,40.38,132.79,Running,359.91
86.06,88.66,101.48,Walking,405.87
80.64,34.33,97.85,Walking,185.84
84.61,58.71,141.41,Walking,291.39
81.22,67.72,162.78,Running,610.06
90.26,47.03,166.3,Walking,243.73
59.43,39.65,102.19,Cycling,266.51
99.93,57.12,110.93,Running,513.9
76.9,52.76,146.2,Running,483.71
51.68,65.36,107.51,Walking,304.16
52.97,76.19,114.04,Walking,343.5
91.4,35.15,155.21,Cycling,256.53
82.87,79.51,161.59,Running,684.25
73.59,58.64,122.65,Walking,263.75
56.56,78.96,143.21,Running,692.87
75.05,50.04,162.91,Running,460.51
50.87,50.1,90.53,Walking,222.52
99.07,75.67,104.21,Walking,344.29
80.18,55.43,168.04,Walking,284.63
77.39,83.66,167.36,Cycling,571.21
98.65,89.67,90.04,Cycling,560.48
58.47,52.7,141.81,Running,480.86
90.43,68.61,169.25,Cycling,466.2
61.9,68.35,141.5,Cycling,471.47
96.33,85.25,98.5,Running,726.9
66.57,81.64,119.85,Walking,376.92
54.43,43.42,151.08,Cycling,301.44
96.97,72.78,97.19,Cycling,468.0
67.77,33.19,146.92,Running,323.73
60.03,35.09,109.42,Walking,178.98
74.49,37.97,95.99,Walking,181.27
63.23,26.09,121.35,Cycling,209.97
63.37,88.86,91.72,Running,734.31
78.04,87.93,124.55,Walking,396.12
64.35,53.47,96.11,Running,461.88
79.91,38.15,142.72,Running,369.95
57.95,68.44,113.5,Running,582.97
94.97,76.23,151.54,Walking,354.58
83.04,50.42,123.89,Cycling,362.13
76.0,69.46,166.76,Cycling,463.97
80.68,37.17,166.62,Running,360.95
50.52,82.08,162.24,Running,723.28
70.95,73.9,100.46,Walking,339.49
76.37,83.11,90.58,Walking,368.5
52.01,34.84,164.11,Cycling,256.58
88.87,15.19,150.68,Cycling,152.92
65.09,10.82,124.51,Cycling,111.11
68.36,35.35,90.88,Cycling,253.85
78.48,85.39,97.02,Walking,374.21
56.07,64.85,169.48,Running,567.39
85.76,68.97,160.8,Running,619.53
52.18,16.63,161.32,Walking,112.85
53.4,35.38,134.92,Walking,186.48
99.46,54.59,109.5,Cycling,379.6
50.49,41.68,150.73,Cycling,288.81
70.18,25.94,128.18,Walking,157.92
72.48,56.17,95.53,Running,490.8
51.06,16.35,125.55,Running,159.14
95.64,62.66,136.48,Running,557.97
74.64,16.23,129.56,Cycling,135.69
52.89,48.8,156.7,Running,432.26
58.36,40.33,129.71,Cycling,281.49
75.02,81.69,156.34,Cycling,535.77
64.24,26.65,134.88,Cycling,221.0
97.36,28.62,94.01,Running,257.88
84.68,58.6,155.2,Cycling,411.48
66.63,47.93,145.55,Running,423.57
52.46,65.14,128.59,Running,551.02
79.91,50.35,135.63,Running,458.52
79.95,70.86,137.07,Walking,321.58
65.04,62.98,103.16,Running,539.44
60.48,59.67,126.09,Running,529.18
69.48,10.82,109.29,Running,114.34
71.5,48.31,103.07,Running,434.38
71.92,87.69,98.78,Cycling,576.78
79.3,35.61,117.12,Walking,193.93
90.5,72.5,116.87,Cycling,472.7
52.93,46.02,105.16,Cycling,319.28
60.45,76.86,123.38,Cycling,490.14
87.67,23.03,159.27,Running,235.8
80.14,46.63,118.68,Running,423.93
72.79,62.35,138.7,Walking,291.1
85.88,52.02,163.51,Cycling,361.08
64.44,67.56,91.56,Walking,311.66
99.92,68.41,146.34,Running,586.88
93.56,31.71,164.41,Running,308.33
64.85,43.76,100.09,Cycling,304.43
95.07,33.93,162.57,Walking,190.47
90.67,17.81,152.33,Running,206.08
92.18,67.81,136.65,Walking,334.6
54.01,86.76,125.07,Walking,388.96
74.33,57.47,140.9,Walking,272.88
89.38,76.83,112.67,Running,658.45
54.77,47.18,127.49,Walking,231.77
95.38,59.02,139.06,Walking,293.07
76.52,74.73,97.21,Cycling,483.15
72.64,14.41,157.5,Walking,100.75
93.55,20.5,117.67,Running,203.78
89.7,58.38,157.21,Running,529.78
99.95,62.59,162.47,Running,571.14
